State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"38,447","35,723","36,002","35,457","37,440","39,019","42,103","49,500","47,752","45,515","51,782","49,264","56,117","55,059","52,381","55,834","56,373","59,569","59,254","66,329","45,823","45,447","51,599","52,085","60,086","55,151","54,649","47,753","46,241","55,480","50,546","41,675","46,672","49,263","52,990","52,076","66,229","53,175","52,661","50,889","54,124","33,276","41,124","54,160","53,460","48,562","59,415","58,135","60,163","66,644","71,889","80,305","71,341","78,496","77,492","73,185","73,766","80,822","90,288","79,877","66,952","73,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"59,784","56,575","55,672","58,874","55,936","51,675","55,812","58,337","59,840","61,658","59,420","55,423","59,882","64,648","64,263","60,423","70,099","72,689","74,889","76,896","121,124","129,795","126,910","140,252","139,329","136,042","122,771","116,377","118,029","154,425","151,630","157,261","159,035","158,153","156,736","160,885","167,218","161,828","151,240","159,186","163,025","146,148","140,389","132,348","136,776","160,078","152,966","156,513","186,763","153,514","163,927","166,773","162,608","168,347","164,138","168,574","150,107","155,506","155,760","154,606","138,648","133,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"59,100","55,209","53,745","51,374","52,769","55,858","56,828","56,539","56,320","56,624","54,309","53,960","56,203","47,225","50,587","47,458","52,481","54,719","66,270","73,877","103,039","108,871","109,127","122,339","114,761","114,217","116,002","116,158","122,565","115,859","102,166","110,847","113,219","106,055","108,905","109,943","124,237","116,010","108,882","111,261","118,368","99,025","99,500","112,635","118,153","130,906","130,017","140,683","158,418","149,749","160,224","176,632","179,593","208,916","221,483","239,503","234,596","238,177","247,124","244,587","235,184","247,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"34,957","32,478","34,382","32,328","33,210","34,786","35,031","32,385","33,828","34,190","32,822","33,768","35,695","36,452","35,899","36,949","35,632","36,725","50,237","53,947","54,794","56,622","58,968","62,679","66,022","68,755","66,440","60,506","61,444","64,343","60,972","65,660","72,610","78,149","81,517","85,646","85,300","89,951","87,839","98,801","104,646","108,048","104,032","107,570","114,862","123,801","129,807","153,230","179,586","203,854","224,987","241,621","246,583","245,622","273,992","278,624","282,936","293,528","296,986","298,551","286,430","297,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"41,442","45,068","40,239","33,299","31,229","35,404","33,010","31,558","39,086","39,601","33,344","30,407","29,355","43,807","44,031","40,414","39,537","37,981","49,657","55,940","30,880","30,527","43,954","44,094","47,136","62,542","49,423","40,982","44,194","37,837","43,149","32,516","37,086","52,644","38,883","38,250","31,818","31,332","38,053","33,906","23,293","33,141","37,858","34,678","44,121","54,637","43,545","62,175","84,232","92,068","100,761","96,371","84,689","97,726","98,934","95,606","94,312","102,440","110,649","121,475","117,585","144,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"46,565","45,532","44,673","39,154","38,448","37,759","37,816","34,261","35,452","34,609","33,527","32,841","32,432","32,195","31,279","31,152","34,819","36,230","37,576","37,510","38,097","41,070","44,643","45,071","50,468","50,892","49,196","45,439","47,412","76,403","84,868","89,510","90,830","92,918","95,203","94,383","85,759","84,291","64,175","65,132","75,389","56,103","49,669","45,369","61,297","62,951","63,632","64,570","50,436","56,832","74,760","75,576","88,539","76,908","78,055","74,223","76,967","71,848","74,057","70,136","68,741","68,941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"69,936","76,550","74,894","70,429","79,375","95,505","90,332","98,163","100,651","106,143","98,397","107,251","104,348","84,637","106,573","112,007","135,822","97,331","132,188","119,406","114,608","130,992","126,686","135,671","130,479","120,845","133,794","111,016","103,727","110,781","123,371","142,264","95,817","109,033","94,371","127,489","158,531","153,272","128,284","157,020","113,793","80,654","108,732","100,455","101,639","114,898","123,334","119,592","125,437","116,455","117,221","143,494","127,819","118,144","137,730","129,412","132,767","140,885","147,563","133,863","142,312","134,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"127,507","120,692","127,402","116,481","131,745","123,608","114,335","118,616","117,146","119,495","111,796","128,148","135,756","142,789","139,607","139,828","136,973","146,565","159,172","191,639","135,910","108,282","143,364","149,658","160,144","137,560","114,112","134,887","115,314","167,662","168,721","137,701","159,968","157,578","187,840","168,810","174,111","167,585","163,009","142,632","139,510","131,872","130,792","188,855","147,627","147,480","139,856","117,419","167,201","179,898","189,830","188,541","186,574","228,352","209,090","206,845","222,384","240,022","270,114","275,441","293,174","288,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"11,880","15,420","14,054","15,915","20,014","26,438","20,421","29,255","26,339","31,071","29,922","34,285","32,507","25,135","28,922","35,262","34,411","21,338","31,963","28,886","28,555","25,970","29,855","28,400","28,819","27,227","29,018","25,054","23,859","24,212","21,154","22,111","21,389","18,259","23,492","29,912","36,101","37,662","27,325","30,685","26,151","19,505","21,759","24,205","24,137","22,847","25,802","32,353","43,508","64,260","84,009","102,733","99,508","98,237","111,219","109,747","125,731","165,938","163,255","164,419","176,757","185,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"13,425","12,832","12,973","13,199","12,801","13,563","13,955","13,879","14,714","14,532","15,950","15,845","16,822","16,912","16,161","15,399","16,378","16,136","16,096","16,832","19,778","18,113","19,739","21,516","22,853","24,632","26,645","24,830","22,964","22,066","19,705","19,436","21,140","20,857","24,719","33,382","38,423","41,932","42,665","44,610","43,687","43,413","44,226","45,556","52,142","51,713","55,259","64,219","84,810","86,963","133,695","144,549","132,976","138,417","155,904","164,543","168,536","186,969","190,495","203,880","202,857","217,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
