geotype,geoid,geoname,varname,x2021
state,23,Maine,drilloffshore,52.34
state,24,Maryland,drilloffshore,41.76
state,25,Massachusetts,drilloffshore,43.29
state,26,Michigan,drilloffshore,49.71
state,27,Minnesota,drilloffshore,48.18
state,28,Mississippi,drilloffshore,62.11
state,29,Missouri,drilloffshore,53.43
state,30,Montana,drilloffshore,46.59
state,31,Nebraska,drilloffshore,52.98
state,32,Nevada,drilloffshore,50.41
state,33,New Hampshire,drilloffshore,48.95
state,34,New Jersey,drilloffshore,44.24
state,35,New Mexico,drilloffshore,47.54
state,36,New York,drilloffshore,47.2
state,37,North Carolina,drilloffshore,52.88
state,38,North Dakota,drilloffshore,63.66
state,39,Ohio,drilloffshore,56.23
state,40,Oklahoma,drilloffshore,58.02
state,41,Oregon,drilloffshore,38.64
state,42,Pennsylvania,drilloffshore,51.92
state,44,Rhode Island,drilloffshore,49.76
state,45,South Carolina,drilloffshore,52.54
state,46,South Dakota,drilloffshore,54.42
state,47,Tennessee,drilloffshore,57.23
state,48,Texas,drilloffshore,54.45
state,49,Utah,drilloffshore,49.91
state,50,Vermont,drilloffshore,46.37
state,51,Virginia,drilloffshore,47.38
state,53,Washington,drilloffshore,38.62
state,54,West Virginia,drilloffshore,58.18
state,55,Wisconsin,drilloffshore,52.42
state,56,Wyoming,drilloffshore,59.12
national,9999,US,co2limits,65.78
national,9999,US,drilloffshore,48.89
county,1001,"Autauga County, Alabama",co2limits,53.31
county,1003,"Baldwin County, Alabama",co2limits,53.07
county,1005,"Barbour County, Alabama",co2limits,63.82
county,1007,"Bibb County, Alabama",co2limits,52.1
county,1009,"Blount County, Alabama",co2limits,47.6
county,1011,"Bullock County, Alabama",co2limits,70.42
county,1013,"Butler County, Alabama",co2limits,60.54
county,1015,"Calhoun County, Alabama",co2limits,57.54
county,1017,"Chambers County, Alabama",co2limits,61.04
county,1019,"Cherokee County, Alabama",co2limits,51.0
county,1021,"Chilton County, Alabama",co2limits,52.14
county,1023,"Choctaw County, Alabama",co2limits,59.93
county,1025,"Clarke County, Alabama",co2limits,55.45
county,1027,"Clay County, Alabama",co2limits,51.55
county,1029,"Cleburne County, Alabama",co2limits,49.25
county,1031,"Coffee County, Alabama",co2limits,53.37
county,1033,"Colbert County, Alabama",co2limits,50.44
county,1035,"Conecuh County, Alabama",co2limits,60.48
county,1037,"Coosa County, Alabama",co2limits,58.51
county,1039,"Covington County, Alabama",co2limits,49.12
county,1041,"Crenshaw County, Alabama",co2limits,57.77
county,1043,"Cullman County, Alabama",co2limits,48.24
county,1045,"Dale County, Alabama",co2limits,54.54
county,1047,"Dallas County, Alabama",co2limits,68.19
county,1049,"DeKalb County, Alabama",co2limits,52.71
county,1051,"Elmore County, Alabama",co2limits,53.99
county,1053,"Escambia County, Alabama",co2limits,55.37
county,1055,"Etowah County, Alabama",co2limits,54.09
county,1057,"Fayette County, Alabama",co2limits,50.56
county,1059,"Franklin County, Alabama",co2limits,53.03
county,1061,"Geneva County, Alabama",co2limits,49.98
county,1063,"Greene County, Alabama",co2limits,63.01
county,1065,"Hale County, Alabama",co2limits,66.19
county,1067,"Henry County, Alabama",co2limits,55.33
county,1069,"Houston County, Alabama",co2limits,53.82
county,1071,"Jackson County, Alabama",co2limits,45.78
county,1073,"Jefferson County, Alabama",co2limits,69.06
county,1075,"Lamar County, Alabama",co2limits,48.27
county,1077,"Lauderdale County, Alabama",co2limits,55.59
county,1079,"Lawrence County, Alabama",co2limits,52.78
county,1081,"Lee County, Alabama",co2limits,62.12
county,1083,"Limestone County, Alabama",co2limits,54.32
county,1085,"Lowndes County, Alabama",co2limits,66.56
county,1087,"Macon County, Alabama",co2limits,70.5
county,1089,"Madison County, Alabama",co2limits,63.46
county,1091,"Marengo County, Alabama",co2limits,61.69
county,1093,"Marion County, Alabama",co2limits,49.58
county,1095,"Marshall County, Alabama",co2limits,50.43
county,1097,"Mobile County, Alabama",co2limits,59.19
county,1099,"Monroe County, Alabama",co2limits,59.94
county,1101,"Montgomery County, Alabama",co2limits,71.54
county,1103,"Morgan County, Alabama",co2limits,52.11
county,1105,"Perry County, Alabama",co2limits,69.79
county,1107,"Pickens County, Alabama",co2limits,62.64
county,1109,"Pike County, Alabama",co2limits,61.96
county,1111,"Randolph County, Alabama",co2limits,51.84
county,1113,"Russell County, Alabama",co2limits,65.8
county,1115,"St. Clair County, Alabama",co2limits,50.93
county,1117,"Shelby County, Alabama",co2limits,54.3
county,1119,"Sumter County, Alabama",co2limits,69.04
county,1121,"Talladega County, Alabama",co2limits,58.16
county,1123,"Tallapoosa County, Alabama",co2limits,55.11
county,1125,"Tuscaloosa County, Alabama",co2limits,62.47
county,1127,"Walker County, Alabama",co2limits,46.43
county,1129,"Washington County, Alabama",co2limits,49.13
county,1131,"Wilcox County, Alabama",co2limits,55.91
county,1133,"Winston County, Alabama",co2limits,50.41
county,2013,"Aleutians East Borough, Alaska",co2limits,66.12
county,2016,"Aleutians West Census Area, Alaska",co2limits,56.4
county,2020,"Anchorage Municipality, Alaska",co2limits,64.27
county,2050,"Bethel Census Area, Alaska",co2limits,66.08
county,2060,"Bristol Bay Borough, Alaska",co2limits,59.5
county,2068,"Denali Borough, Alaska",co2limits,60.93
