geotype,geoid,geoname,varname,x2021,Cluster
county,12053,"Hernando County, FL",co2limits,59.71,Cluster 1
county,12055,"Highlands County, FL",co2limits,59.34,Cluster 1
county,12057,"Hillsborough County, FL",co2limits,69.09,Cluster 1
county,12059,"Holmes County, FL",co2limits,47.86,Cluster 1
county,12061,"Indian River County, FL",co2limits,61.19,Cluster 1
county,12063,"Jackson County, FL",co2limits,55.36,Cluster 1
county,12065,"Jefferson County, FL",co2limits,62.42,Cluster 1
county,12067,"Lafayette County, FL",co2limits,48.94,Cluster 1
county,12069,"Lake County, FL",co2limits,61.15,Cluster 1
county,12071,"Lee County, FL",co2limits,63.4,Cluster 1
county,12073,"Leon County, FL",co2limits,69.68,Cluster 1
county,12075,"Levy County, FL",co2limits,57.63,Cluster 1
county,12077,"Liberty County, FL",co2limits,52.94,Cluster 1
county,12079,"Madison County, FL",co2limits,59.48,Cluster 1
county,12081,"Manatee County, FL",co2limits,65.17,Cluster 1
county,12083,"Marion County, FL",co2limits,61.59,Cluster 1
county,12085,"Martin County, FL",co2limits,58.72,Cluster 1
county,12086,"Miami-Dade County, FL",co2limits,73.31,Cluster 1
county,12087,"Monroe County, FL",co2limits,68.94,Cluster 1
county,12089,"Nassau County, FL",co2limits,53.71,Cluster 1
county,12091,"Okaloosa County, FL",co2limits,58.65,Cluster 1
county,12093,"Okeechobee County, FL",co2limits,57.55,Cluster 1
county,12095,"Orange County, FL",co2limits,69.08,Cluster 1
county,12097,"Osceola County, FL",co2limits,71.14,Cluster 1
county,12099,"Palm Beach County, FL",co2limits,71.9,Cluster 1
county,12101,"Pasco County, FL",co2limits,62.84,Cluster 1
county,12103,"Pinellas County, FL",co2limits,68.18,Cluster 1
county,12105,"Polk County, FL",co2limits,65.84,Cluster 1
county,12107,"Putnam County, FL",co2limits,51.85,Cluster 1
county,12109,"St. Johns County, FL",co2limits,59.79,Cluster 1
county,12111,"St. Lucie County, FL",co2limits,66.08,Cluster 1
county,12113,"Santa Rosa County, FL",co2limits,56.08,Cluster 1
county,12115,"Sarasota County, FL",co2limits,61.5,Cluster 1
county,12117,"Seminole County, FL",co2limits,64.5,Cluster 1
county,12119,"Sumter County, FL",co2limits,60.71,Cluster 1
county,12121,"Suwannee County, FL",co2limits,54.33,Cluster 1
county,12123,"Taylor County, FL",co2limits,53.93,Cluster 1
county,12125,"Union County, FL",co2limits,54.53,Cluster 1
county,12127,"Volusia County, FL",co2limits,64.12,Cluster 1
county,12129,"Wakulla County, FL",co2limits,55.19,Cluster 1
county,12131,"Walton County, FL",co2limits,58.38,Cluster 1
county,12133,"Washington County, FL",co2limits,50.43,Cluster 1
county,13001,"Appling County, GA",co2limits,52.18,Cluster 1
county,13003,"Atkinson County, GA",co2limits,55.16,Cluster 1
county,13005,"Bacon County, GA",co2limits,51.41,Cluster 1
county,13007,"Baker County, GA",co2limits,57.91,Cluster 1
county,13009,"Baldwin County, GA",co2limits,61.88,Cluster 1
county,13011,"Banks County, GA",co2limits,48.79,Cluster 1
county,13013,"Barrow County, GA",co2limits,55.02,Cluster 1
county,13015,"Bartow County, GA",co2limits,44.81,Cluster 1
county,13017,"Ben Hill County, GA",co2limits,55.53,Cluster 1
county,13019,"Berrien County, GA",co2limits,49.99,Cluster 1
county,13021,"Bibb County, GA",co2limits,64.01,Cluster 1
county,13023,"Bleckley County, GA",co2limits,49.59,Cluster 1
county,13025,"Brantley County, GA",co2limits,44.57,Cluster 1
county,13027,"Brooks County, GA",co2limits,59.69,Cluster 1
county,13029,"Bryan County, GA",co2limits,56.89,Cluster 1
county,13031,"Bulloch County, GA",co2limits,59.63,Cluster 1
county,13033,"Burke County, GA",co2limits,60.21,Cluster 1
county,13035,"Butts County, GA",co2limits,53.61,Cluster 1
county,13037,"Calhoun County, GA",co2limits,66.74,Cluster 1
county,13039,"Camden County, GA",co2limits,54.91,Cluster 1
county,13043,"Candler County, GA",co2limits,55.28,Cluster 1
county,13045,"Carroll County, GA",co2limits,55.64,Cluster 1
county,13047,"Catoosa County, GA",co2limits,49.16,Cluster 1
county,13049,"Charlton County, GA",co2limits,51.45,Cluster 1
county,13051,"Chatham County, GA",co2limits,68.94,Cluster 1
county,13053,"Chattahoochee County, GA",co2limits,66.76,Cluster 1
county,13055,"Chattooga County, GA",co2limits,49.96,Cluster 1
county,13057,"Cherokee County, GA",co2limits,57.83,Cluster 1
county,13059,"Clarke County, GA",co2limits,72.19,Cluster 1
county,13061,"Clay County, GA",co2limits,64.96,Cluster 1
county,13063,"Clayton County, GA",co2limits,70.36,Cluster 1
county,13065,"Clinch County, GA",co2limits,54.34,Cluster 1
county,13067,"Cobb County, GA",co2limits,63.34,Cluster 1
county,13069,"Coffee County, GA",co2limits,55.3,Cluster 1
county,13071,"Colquitt County, GA",co2limits,56.02,Cluster 1
county,13073,"Columbia County, GA",co2limits,54.28,Cluster 1
county,13075,"Cook County, GA",co2limits,55.06,Cluster 1
county,13077,"Coweta County, GA",co2limits,55.26,Cluster 1
county,13079,"Crawford County, GA",co2limits,50.98,Cluster 1
county,13081,"Crisp County, GA",co2limits,58.92,Cluster 1
county,13083,"Dade County, GA",co2limits,51.41,Cluster 1
county,13085,"Dawson County, GA",co2limits,50.85,Cluster 1
county,13087,"Decatur County, GA",co2limits,60.57,Cluster 1
county,13089,"DeKalb County, GA",co2limits,74.07,Cluster 1
county,13091,"Dodge County, GA",co2limits,54.36,Cluster 1
county,13093,"Dooly County, GA",co2limits,61.99,Cluster 1
county,13095,"Dougherty County, GA",co2limits,70.83,Cluster 1
county,13097,"Douglas County, GA",co2limits,68.01,Cluster 1
county,13099,"Early County, GA",co2limits,48.02,Cluster 1
county,13101,"Echols County, GA",co2limits,47.8,Cluster 1
county,13103,"Effingham County, GA",co2limits,48.15,Cluster 1
county,13105,"Elbert County, GA",co2limits,56.34,Cluster 1
county,13107,"Emanuel County, GA",co2limits,56.89,Cluster 1
county,13109,"Evans County, GA",co2limits,57.08,Cluster 1
county,13111,"Fannin County, GA",co2limits,52.83,Cluster 1
county,13113,"Fayette County, GA",co2limits,63.59,Cluster 1
county,13115,"Floyd County, GA",co2limits,53.2,Cluster 1
county,13117,"Forsyth County, GA",co2limits,60.5,Cluster 1
county,13119,"Franklin County, GA",co2limits,50.6,Cluster 1
county,13121,"Fulton County, GA",co2limits,74.97,Cluster 1
county,13123,"Gilmer County, GA",co2limits,56.17,Cluster 1
county,13125,"Glascock County, GA",co2limits,44.89,Cluster 1
county,13127,"Glynn County, GA",co2limits,59.92,Cluster 1
county,13129,"Gordon County, GA",co2limits,51.25,Cluster 1
county,13131,"Grady County, GA",co2limits,57.74,Cluster 1
county,13133,"Greene County, GA",co2limits,57.63,Cluster 1
county,13135,"Gwinnett County, GA",co2limits,69.45,Cluster 1
county,13137,"Habersham County, GA",co2limits,49.27,Cluster 1
county,13139,"Hall County, GA",co2limits,57.13,Cluster 1
county,13141,"Hancock County, GA",co2limits,65.27,Cluster 1
county,13143,"Haralson County, GA",co2limits,49.04,Cluster 1
county,13145,"Harris County, GA",co2limits,53.2,Cluster 1
county,13147,"Hart County, GA",co2limits,52.63,Cluster 1
county,13149,"Heard County, GA",co2limits,37.4,Cluster 1
county,13151,"Henry County, GA",co2limits,67.73,Cluster 1
county,13153,"Houston County, GA",co2limits,61.35,Cluster 1
county,13155,"Irwin County, GA",co2limits,50.09,Cluster 1
county,13157,"Jackson County, GA",co2limits,53.15,Cluster 1
county,13159,"Jasper County, GA",co2limits,51.5,Cluster 1
county,13161,"Jeff Davis County, GA",co2limits,49.2,Cluster 1
county,13163,"Jefferson County, GA",co2limits,62.74,Cluster 1
county,13165,"Jenkins County, GA",co2limits,59.98,Cluster 1
county,13167,"Johnson County, GA",co2limits,56.99,Cluster 1
county,13169,"Jones County, GA",co2limits,56.13,Cluster 1
county,13171,"Lamar County, GA",co2limits,53.96,Cluster 1
county,13173,"Lanier County, GA",co2limits,52.76,Cluster 1
county,13175,"Laurens County, GA",co2limits,55.5,Cluster 1
county,13177,"Lee County, GA",co2limits,53.89,Cluster 1
county,13179,"Liberty County, GA",co2limits,67.89,Cluster 1
county,13181,"Lincoln County, GA",co2limits,53.19,Cluster 1
county,13183,"Long County, GA",co2limits,58.64,Cluster 1
county,13185,"Lowndes County, GA",co2limits,61.78,Cluster 1
county,13187,"Lumpkin County, GA",co2limits,50.48,Cluster 1
county,13189,"McDuffie County, GA",co2limits,56.35,Cluster 1
county,13191,"McIntosh County, GA",co2limits,58.42,Cluster 1
county,13193,"Macon County, GA",co2limits,68.61,Cluster 1
county,13195,"Madison County, GA",co2limits,53.71,Cluster 1
county,13197,"Marion County, GA",co2limits,59.07,Cluster 1
county,13199,"Meriwether County, GA",co2limits,58.75,Cluster 1
county,13201,"Miller County, GA",co2limits,51.95,Cluster 1
county,13205,"Mitchell County, GA",co2limits,62.3,Cluster 1
county,13207,"Monroe County, GA",co2limits,39.91,Cluster 1
county,13209,"Montgomery County, GA",co2limits,53.17,Cluster 1
county,13211,"Morgan County, GA",co2limits,56.65,Cluster 1
county,13213,"Murray County, GA",co2limits,48.38,Cluster 1
county,13215,"Muscogee County, GA",co2limits,67.6,Cluster 1
county,13217,"Newton County, GA",co2limits,66.13,Cluster 1
county,13219,"Oconee County, GA",co2limits,57.53,Cluster 1
county,13221,"Oglethorpe County, GA",co2limits,54.7,Cluster 1
county,13223,"Paulding County, GA",co2limits,57.96,Cluster 1
county,13225,"Peach County, GA",co2limits,64.42,Cluster 1
county,13227,"Pickens County, GA",co2limits,51.4,Cluster 1
county,13229,"Pierce County, GA",co2limits,46.71,Cluster 1
county,13231,"Pike County, GA",co2limits,46.81,Cluster 1
county,13233,"Polk County, GA",co2limits,51.27,Cluster 1
county,13235,"Pulaski County, GA",co2limits,53.14,Cluster 1
county,13237,"Putnam County, GA",co2limits,46.71,Cluster 1
county,13239,"Quitman County, GA",co2limits,62.3,Cluster 1
county,13241,"Rabun County, GA",co2limits,54.82,Cluster 1
county,13243,"Randolph County, GA",co2limits,70.18,Cluster 1
county,13245,"Richmond County, GA",co2limits,68.1,Cluster 1
county,13247,"Rockdale County, GA",co2limits,70.99,Cluster 1
county,13249,"Schley County, GA",co2limits,48.95,Cluster 1
county,13251,"Screven County, GA",co2limits,58.42,Cluster 1
county,13253,"Seminole County, GA",co2limits,55.9,Cluster 1
county,13255,"Spalding County, GA",co2limits,57.41,Cluster 1
county,13257,"Stephens County, GA",co2limits,51.28,Cluster 1
county,13259,"Stewart County, GA",co2limits,68.36,Cluster 1
county,13261,"Sumter County, GA",co2limits,64.64,Cluster 1
county,13263,"Talbot County, GA",co2limits,64.66,Cluster 1
county,13265,"Taliaferro County, GA",co2limits,66.68,Cluster 1
county,13267,"Tattnall County, GA",co2limits,57.89,Cluster 1
county,13269,"Taylor County, GA",co2limits,56.68,Cluster 1
county,13271,"Telfair County, GA",co2limits,55.1,Cluster 1
county,13273,"Terrell County, GA",co2limits,64.61,Cluster 1
county,13275,"Thomas County, GA",co2limits,59.94,Cluster 1
county,13277,"Tift County, GA",co2limits,55.91,Cluster 1
county,13279,"Toombs County, GA",co2limits,54.75,Cluster 1
county,13281,"Towns County, GA",co2limits,52.42,Cluster 1
county,13283,"Treutlen County, GA",co2limits,54.24,Cluster 1
county,13285,"Troup County, GA",co2limits,58.35,Cluster 1
county,13287,"Turner County, GA",co2limits,56.93,Cluster 1
county,13289,"Twiggs County, GA",co2limits,58.91,Cluster 1
county,13291,"Union County, GA",co2limits,52.51,Cluster 1
county,13293,"Upson County, GA",co2limits,53.92,Cluster 1
county,13295,"Walker County, GA",co2limits,50.36,Cluster 1
county,13297,"Walton County, GA",co2limits,53.85,Cluster 1
county,13299,"Ware County, GA",co2limits,55.18,Cluster 1
county,13301,"Warren County, GA",co2limits,61.73,Cluster 1
county,13303,"Washington County, GA",co2limits,62.81,Cluster 1
county,13305,"Wayne County, GA",co2limits,52.25,Cluster 1
county,13307,"Webster County, GA",co2limits,57.61,Cluster 1
county,13309,"Wheeler County, GA",co2limits,53.92,Cluster 1
county,13311,"White County, GA",co2limits,48.85,Cluster 1
county,13313,"Whitfield County, GA",co2limits,55.57,Cluster 1
county,13315,"Wilcox County, GA",co2limits,52.3,Cluster 1
county,13317,"Wilkes County, GA",co2limits,58.09,Cluster 1
county,13319,"Wilkinson County, GA",co2limits,57.71,Cluster 1
county,13321,"Worth County, GA",co2limits,51.49,Cluster 1
county,15001,"Hawaii County, HI",co2limits,65.62,Cluster 1
county,15003,"Honolulu County, HI",co2limits,65.62,Cluster 1
county,15005,"Kalawao County, HI",co2limits,65.62,Cluster 1
county,15007,"Kauai County, HI",co2limits,65.62,Cluster 1
county,15009,"Maui County, HI",co2limits,65.62,Cluster 1
county,17001,"Adams County, IL",co2limits,54.33,Cluster 1
county,17003,"Alexander County, IL",co2limits,60.49,Cluster 1
county,17005,"Bond County, IL",co2limits,57.09,Cluster 1
county,17007,"Boone County, IL",co2limits,63.51,Cluster 1
county,17009,"Brown County, IL",co2limits,54.15,Cluster 1
county,17011,"Bureau County, IL",co2limits,57.18,Cluster 1
county,17013,"Calhoun County, IL",co2limits,53.6,Cluster 1
county,17015,"Carroll County, IL",co2limits,57.58,Cluster 1
